player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
PJ Cummins,Death,36,7,29,1.726,0.7143,0.4138,-73.83,78.27,152.1,-0.0955,0.0778,0.1733,137.74,0.4722,0.2842,2,Pressure Collapser,#9b59b6
CJ Boyce,Death,23,8,15,1.875,1.0,0.5333,-37.37,111.43,148.81,-0.0382,0.1448,0.1831,135.81,0.6957,0.3498,3,Explosive Aggressor,#3498db
S Luus,Death,29,5,24,1.8,0.6,0.3333,-114.12,41.62,155.74,-0.2156,0.0,0.2156,136.07,0.3793,0.2676,2,Pressure Collapser,#9b59b6
MM Ali,Death,32,7,25,1.488,0.7143,0.48,-78.56,97.05,175.61,-0.1126,0.1303,0.2429,158.42,0.5312,0.2877,2,Pressure Collapser,#9b59b6
CL Tryon,Death,35,5,30,0.9,0.6,0.6667,-52.34,123.19,175.53,-0.0631,0.1704,0.2335,168.05,0.6571,0.2485,3,Explosive Aggressor,#3498db
CA Henry,Death,23,8,15,2.25,0.75,0.3333,-39.36,79.93,119.29,-0.0346,0.0813,0.1158,105.6,0.4783,0.3459,3,Explosive Aggressor,#3498db
SA Yadav,Death,46,6,40,2.083,0.8333,0.4,-52.22,151.11,203.33,-0.0748,0.2488,0.3236,196.52,0.4565,0.2446,2,Pressure Collapser,#9b59b6
AR Patel,Death,75,9,66,2.173,0.8889,0.4091,-67.25,91.84,159.09,-0.0914,0.093,0.1844,151.02,0.4667,0.2254,2,Pressure Collapser,#9b59b6
JO Holder,Death,31,5,26,0.945,0.4,0.4231,-65.61,108.14,173.76,-0.0854,0.1569,0.2423,163.17,0.4194,0.2423,2,Pressure Collapser,#9b59b6
AC Agar,Death,42,8,34,2.288,0.875,0.3824,-53.72,80.68,134.39,-0.0439,0.0888,0.1327,124.16,0.4762,0.2591,3,Explosive Aggressor,#3498db
AJ Tye,Death,21,8,13,0.929,0.5,0.5385,-49.39,68.81,118.2,-0.023,0.0764,0.0994,99.38,0.5238,0.3663,3,Explosive Aggressor,#3498db
HH Pandya,Death,110,10,100,1.739,0.8,0.46,-84.13,94.66,178.79,-0.1116,0.1311,0.2427,171.14,0.4909,0.2426,2,Pressure Collapser,#9b59b6
SW Billings,Death,30,6,24,1.0,0.6667,0.6667,-89.89,93.84,183.73,-0.1161,0.159,0.275,165.75,0.6667,0.2789,2,Pressure Collapser,#9b59b6
Ritu Moni,Death,20,5,15,2.0,0.8,0.4,-61.45,43.81,105.26,-0.0908,0.0,0.0908,89.9,0.5,0.3192,4,Pressure Vulnerable,#e74c3c
DB Sharma,Death,41,5,36,2.16,0.6,0.2778,-63.18,60.06,123.24,-0.0705,0.05,0.1205,115.53,0.3171,0.2421,3,Explosive Aggressor,#3498db
MD Shanaka,Death,41,10,31,3.1,0.9,0.2903,-88.49,82.71,171.21,-0.1444,0.1,0.2444,149.62,0.439,0.2895,2,Pressure Collapser,#9b59b6
OU Ranasinghe,Death,15,5,10,2.0,0.8,0.4,-32.43,61.49,93.91,-0.0123,0.0662,0.0785,83.11,0.5333,0.3983,1,Composed Accumulator,#2ecc71
CR Brathwaite,Death,19,5,14,1.6,0.8,0.5,-49.07,133.18,182.25,-0.0477,0.211,0.2587,169.34,0.5789,0.2978,3,Explosive Aggressor,#3498db
RR Pant,Death,41,6,35,1.458,0.6667,0.4571,-66.65,124.86,191.51,-0.1077,0.1883,0.2959,181.76,0.4878,0.2566,2,Pressure Collapser,#9b59b6
Aliya Riaz,Death,35,7,28,3.0,0.8571,0.2857,-42.24,105.03,147.27,-0.0271,0.1331,0.1602,138.82,0.4,0.2708,3,Explosive Aggressor,#3498db
Kuldeep Yadav,Death,20,11,9,0.614,0.2727,0.4444,-29.11,79.06,108.17,0.0077,0.0903,0.0826,92.16,0.35,0.3882,1,Composed Accumulator,#2ecc71
R Powell,Death,38,6,32,1.684,1.0,0.5938,-112.58,73.91,186.49,-0.1804,0.084,0.2644,168.71,0.6579,0.2666,2,Pressure Collapser,#9b59b6
Faheem Ashraf,Death,26,5,21,1.75,1.0,0.5714,-78.65,79.67,158.32,-0.0834,0.1,0.1834,143.19,0.6538,0.2756,2,Pressure Collapser,#9b59b6
TH David,Death,74,15,59,1.539,0.6,0.3898,-77.43,122.98,200.42,-0.1098,0.1747,0.2845,184.72,0.4324,0.2633,2,Pressure Collapser,#9b59b6
JJ Peirson,Death,33,5,28,3.5,1.0,0.2857,-67.05,96.5,163.55,-0.0659,0.1507,0.2166,153.39,0.3939,0.2339,2,Pressure Collapser,#9b59b6
Rashid Khan,Death,39,12,27,1.841,0.75,0.4074,-97.77,100.3,198.06,-0.1455,0.1591,0.3045,167.98,0.5128,0.3349,2,Pressure Collapser,#9b59b6
S Ecclestone,Death,17,6,11,5.5,0.5,0.0909,-95.28,61.03,156.31,-0.1866,0.0238,0.2104,122.69,0.2353,0.3207,2,Pressure Collapser,#9b59b6
C Sutthiruang,Death,22,7,15,2.143,0.7143,0.3333,-67.79,64.56,132.35,-0.0589,0.0595,0.1184,110.78,0.4545,0.3435,3,Explosive Aggressor,#3498db
S Nampiina,Death,23,8,15,1.875,0.625,0.3333,-67.49,80.89,148.38,-0.0678,0.1141,0.1819,124.9,0.4348,0.3441,4,Pressure Vulnerable,#e74c3c
N Pooran,Death,50,7,43,1.675,0.8571,0.5116,-12.86,160.53,173.39,0.0249,0.2694,0.2445,171.59,0.56,0.2649,3,Explosive Aggressor,#3498db
DR Sams,Death,27,5,22,2.444,1.0,0.4091,-96.07,81.5,177.57,-0.1575,0.0771,0.2347,159.78,0.5185,0.2784,2,Pressure Collapser,#9b59b6
WK Dilhari,Death,15,5,10,1.5,0.6,0.4,-57.4,78.98,136.38,-0.0298,0.0952,0.1251,117.24,0.4667,0.3142,3,Explosive Aggressor,#3498db
SM Curran,Death,35,7,28,1.714,0.8571,0.5,-105.39,63.13,168.52,-0.1636,0.0585,0.2221,147.44,0.5714,0.2739,2,Pressure Collapser,#9b59b6
J Nkomo,Death,18,7,11,3.929,0.7143,0.1818,-60.24,58.75,118.98,-0.0167,0.078,0.0946,95.56,0.3889,0.3632,0,Steady Anchor,#34495e
RK Singh,Death,36,6,30,2.083,0.8333,0.4,-93.54,107.87,201.41,-0.1422,0.168,0.3103,185.82,0.4722,0.2505,2,Pressure Collapser,#9b59b6
W Mwatile,Death,22,10,12,2.7,0.9,0.3333,-102.99,60.14,163.13,-0.1242,0.071,0.1952,116.32,0.5909,0.3855,4,Pressure Vulnerable,#e74c3c
JJ Smit,Death,27,6,21,1.167,0.5,0.4286,-72.07,110.87,182.94,-0.0993,0.1464,0.2457,166.92,0.4444,0.2542,2,Pressure Collapser,#9b59b6
SA Okpe,Death,19,6,13,2.6,1.0,0.3846,-99.81,46.69,146.5,-0.1418,0.0185,0.1603,114.98,0.5789,0.3238,2,Pressure Collapser,#9b59b6
MR Adair,Death,27,6,21,1.458,0.8333,0.5714,-89.72,57.46,147.18,-0.1391,0.0357,0.1749,127.25,0.6296,0.3366,2,Pressure Collapser,#9b59b6
S Gajnabi,Death,17,7,10,1.429,0.7143,0.5,-61.32,57.11,118.43,-0.065,0.0476,0.1126,93.18,0.5882,0.377,4,Pressure Vulnerable,#e74c3c
IO Okpe,Death,30,9,21,1.256,0.7778,0.619,-71.59,85.94,157.53,-0.1099,0.0665,0.1764,136.05,0.6667,0.3028,2,Pressure Collapser,#9b59b6
W Sutherland,Death,23,7,16,1.27,0.7143,0.5625,-98.68,65.26,163.94,-0.1441,0.049,0.1931,133.91,0.6087,0.342,2,Pressure Collapser,#9b59b6
Abdul Samad,Death,27,6,21,0.875,0.3333,0.381,-99.55,86.91,186.45,-0.1393,0.1032,0.2424,164.33,0.3704,0.282,2,Pressure Collapser,#9b59b6
SO Hetmyer,Death,48,6,42,1.867,0.6667,0.3571,-61.29,118.11,179.4,-0.0738,0.1698,0.2436,171.74,0.3958,0.2265,2,Pressure Collapser,#9b59b6
RM Ghosh,Death,28,5,23,1.84,0.8,0.4348,-64.76,123.06,187.82,-0.068,0.2279,0.2959,176.26,0.5,0.2703,2,Pressure Collapser,#9b59b6
M Akayezu,Death,16,7,9,1.543,0.8571,0.5556,-112.13,83.13,195.26,-0.1678,0.0993,0.2671,146.2,0.6875,0.3765,2,Pressure Collapser,#9b59b6
P Alako,Death,16,10,6,1.5,0.5,0.3333,-97.78,60.59,158.36,-0.1494,0.0379,0.1873,97.25,0.4375,0.4758,4,Pressure Vulnerable,#e74c3c
Mohammad Nawaz,Death,26,7,19,0.987,0.5714,0.5789,-53.12,124.18,177.3,-0.1127,0.1434,0.256,163.0,0.5769,0.2896,2,Pressure Collapser,#9b59b6
R Shepherd,Death,32,6,26,2.708,0.8333,0.3077,-89.75,99.25,189.01,-0.1295,0.1412,0.2708,172.18,0.4062,0.2757,2,Pressure Collapser,#9b59b6
AJ Hosein,Death,19,6,13,2.708,0.8333,0.3077,-64.98,100.78,165.75,-0.0208,0.1588,0.1797,145.23,0.4737,0.3219,3,Explosive Aggressor,#3498db
S Dharnidharka,Death,16,7,9,2.571,0.5714,0.2222,-81.12,49.77,130.89,-0.1285,0.0143,0.1428,95.4,0.375,0.3427,4,Pressure Vulnerable,#e74c3c
IKEG Artawan,Death,17,6,11,0.733,0.3333,0.4545,-22.56,81.53,104.09,-0.0138,0.0976,0.1115,96.12,0.4118,0.4039,1,Composed Accumulator,#2ecc71
Ahmad Ramdoni,Death,20,5,15,2.25,0.6,0.2667,-73.76,72.02,145.79,-0.1189,0.0619,0.1808,127.35,0.35,0.315,4,Pressure Vulnerable,#e74c3c
