player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
NT Miles,PP,34,10,24,3.6,0.3,0.0833,-29.12,54.18,83.31,-0.0299,0.0588,0.0887,74.74,0.1471,0.4932,0,Steady Anchor,#34495e
Zeefa Jilani,PP,23,14,9,1.929,0.4286,0.2222,-44.39,56.07,100.46,-0.0487,0.0873,0.136,73.44,0.3478,0.5777,1,Composed Accumulator,#2ecc71
KY Chan,PP,18,6,12,4.0,0.3333,0.0833,-54.42,38.59,93.02,-0.0783,0.0411,0.1194,74.88,0.1667,0.4845,0,Steady Anchor,#34495e
Shanzeen Shahzad,PP,23,14,9,1.929,0.4286,0.2222,-31.9,50.46,82.35,-0.0341,0.0593,0.0934,62.94,0.3478,0.5867,1,Composed Accumulator,#2ecc71
RMVD Gunaratne,PP,27,13,14,2.154,0.4615,0.2143,-28.06,60.69,88.75,-0.0501,0.0833,0.1334,75.24,0.3333,0.5413,1,Composed Accumulator,#2ecc71
Ainna Hamizah Hashim,PP,18,11,7,1.591,0.4545,0.2857,-40.95,41.44,82.38,-0.0328,0.0612,0.0941,57.36,0.3889,0.6185,1,Composed Accumulator,#2ecc71
KR Mayers,PP,29,6,23,3.194,0.8333,0.2609,-51.26,81.63,132.89,-0.0914,0.1247,0.216,122.28,0.3793,0.4751,4,Pressure Vulnerable,#e74c3c
TI Gajanayake,PP,23,10,13,3.25,0.5,0.1538,-40.07,33.61,73.68,-0.0733,0.03,0.1033,56.26,0.3043,0.5687,0,Steady Anchor,#34495e
K Ndlovu,PP,31,8,23,1.725,0.375,0.2174,-28.34,69.27,97.61,-0.0161,0.1168,0.1329,90.3,0.2581,0.4965,1,Composed Accumulator,#2ecc71
NJ Pius,PP,18,11,7,1.273,0.1818,0.1429,-29.15,56.56,85.71,-0.0301,0.0777,0.1077,67.9,0.1667,0.5983,1,Composed Accumulator,#2ecc71
A Dizija,PP,21,8,13,3.25,1.0,0.3077,-56.32,41.59,97.91,-0.0938,0.0296,0.1234,76.45,0.5714,0.505,0,Steady Anchor,#34495e
Tenjin Rabgey,PP,19,5,14,2.8,0.6,0.2143,-31.55,61.86,93.42,-0.0331,0.0855,0.1186,85.11,0.3158,0.5038,1,Composed Accumulator,#2ecc71
S Singh,PP,16,7,9,2.571,0.2857,0.1111,-73.95,58.52,132.46,-0.1719,0.0553,0.2272,100.11,0.1875,0.4891,4,Pressure Vulnerable,#e74c3c
GA Priandana,PP,35,8,27,1.875,0.625,0.3333,-67.44,44.8,112.25,-0.1139,0.0484,0.1623,96.83,0.4,0.4508,4,Pressure Vulnerable,#e74c3c
A Johnson,PP,19,5,14,3.733,0.8,0.2143,-73.97,77.9,151.86,-0.125,0.1385,0.2635,132.4,0.3684,0.4858,4,Pressure Vulnerable,#e74c3c
J Brown,PP,30,8,22,1.925,0.875,0.4545,-59.84,90.8,150.64,-0.0936,0.1475,0.2411,134.68,0.5667,0.476,4,Pressure Vulnerable,#e74c3c
E Iloku,PP,30,18,12,2.667,0.4444,0.1667,-43.03,44.72,87.75,-0.0709,0.0409,0.1118,61.93,0.3333,0.5731,1,Composed Accumulator,#2ecc71
P Kurup,PP,34,7,27,3.857,0.7143,0.1852,-78.12,47.69,125.81,-0.1472,0.0498,0.1971,109.72,0.2941,0.4429,4,Pressure Vulnerable,#e74c3c
S Mostary,PP,15,6,9,1.5,0.3333,0.2222,-51.79,49.93,101.72,-0.0834,0.0823,0.1656,81.0,0.2667,0.5377,1,Composed Accumulator,#2ecc71
R Obuya,PP,15,6,9,1.0,0.3333,0.3333,-53.84,70.58,124.42,-0.0821,0.113,0.1951,102.89,0.3333,0.5375,4,Pressure Vulnerable,#e74c3c
KK Lin Thu,PP,15,10,5,3.0,0.6,0.2,-47.14,41.29,88.42,-0.0418,0.0439,0.0857,57.0,0.4667,0.5486,0,Steady Anchor,#34495e
O Manishimwe,PP,26,8,18,1.286,0.5,0.3889,-42.32,52.98,95.3,-0.0727,0.0818,0.1544,82.28,0.4231,0.553,1,Composed Accumulator,#2ecc71
Anjar Tadarus,PP,18,8,10,3.125,0.625,0.2,-42.87,42.96,85.83,-0.0834,0.0565,0.14,66.78,0.3889,0.5785,0,Steady Anchor,#34495e
M Uwase,PP,17,11,6,0.409,0.2727,0.6667,-30.69,55.04,85.73,-0.0286,0.0749,0.1035,65.87,0.4118,0.6053,1,Composed Accumulator,#2ecc71
KD Kesuma,PP,34,11,23,1.464,0.6364,0.4348,-52.54,65.11,117.65,-0.0852,0.1016,0.1869,100.66,0.5,0.4714,4,Pressure Vulnerable,#e74c3c
Saim Ayub,PP,25,7,18,1.714,0.5714,0.3333,-52.06,86.88,138.94,-0.1203,0.1181,0.2383,124.37,0.4,0.4595,4,Pressure Vulnerable,#e74c3c
C Chatphaisan,PP,23,5,18,1.35,0.6,0.4444,-11.49,94.95,106.43,0.0031,0.1479,0.1448,103.94,0.4783,0.468,1,Composed Accumulator,#2ecc71
MB Kruger,PP,18,7,11,0.224,0.1429,0.6364,-73.19,56.49,129.68,-0.1276,0.0802,0.2078,101.22,0.4444,0.5042,4,Pressure Vulnerable,#e74c3c
Karanbir Singh,PP,28,9,19,0.704,0.2222,0.3158,-74.56,77.51,152.07,-0.1232,0.1472,0.2704,128.1,0.2857,0.4813,4,Pressure Vulnerable,#e74c3c
P Molkenboer,PP,17,6,11,1.833,0.5,0.2727,-38.35,58.57,96.92,-0.0538,0.0871,0.141,83.39,0.3529,0.5207,1,Composed Accumulator,#2ecc71
