player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
Ibrahim Hassan,Death,14,5,9,1.35,0.6,0.4444,-79.43,46.8,126.23,-0.0881,0.0364,0.1245,97.86,0.5,0.3373
GJ Delany,Death,15,4,11,0.688,0.25,0.3636,-100.43,93.55,193.98,-0.1626,0.1027,0.2653,167.2,0.3333,0.3064
MR Adair,Death,27,6,21,1.458,0.8333,0.5714,-89.72,57.46,147.18,-0.1391,0.0357,0.1749,127.25,0.6296,0.3366
Karan KC,Death,15,4,11,0.917,0.5,0.5455,-53.26,158.02,211.28,-0.0739,0.2268,0.3008,197.08,0.5333,0.2681
S Muniandy,Death,18,4,14,1.75,0.5,0.2857,-68.14,124.28,192.42,-0.0703,0.1765,0.2468,177.28,0.3333,0.2509
ZE Green,Death,13,3,10,1.111,0.3333,0.3,-46.92,120.37,167.29,-0.0149,0.2169,0.2318,156.46,0.3077,0.2644
GK Diviya,Death,10,4,6,,0.5,0.0,-83.12,67.46,150.58,-0.0882,0.0357,0.124,117.34,0.2,0.2282
KA Green,Death,14,7,7,3.0,0.4286,0.1429,-66.81,59.48,126.3,-0.0667,0.0575,0.1243,92.89,0.2857,0.3866
PWH de Silva,Death,20,4,16,2.0,0.75,0.375,-86.26,66.11,152.37,-0.138,0.059,0.1971,135.12,0.45,0.3166
Afif Hossain,Death,21,3,18,0.667,0.3333,0.5,-61.14,64.14,125.28,-0.0485,0.0909,0.1394,116.55,0.4762,0.2604
S Gajnabi,Death,17,7,10,1.429,0.7143,0.5,-61.32,57.11,118.43,-0.065,0.0476,0.1126,93.18,0.5882,0.377
M Wai Siu,Death,14,7,7,,0.1429,0.0,-25.27,25.77,51.04,0.0,0.0,0.0,38.41,0.0714,0.5213
Virandeep Singh,Death,17,3,14,1.556,0.6667,0.4286,-47.68,130.88,178.55,-0.024,0.1877,0.2117,170.14,0.4706,0.2262
Nasrulla Rana,Death,12,3,9,2.0,0.6667,0.3333,-72.32,63.81,136.13,-0.0791,0.0667,0.1458,118.05,0.4167,0.3498
IA Karim,Death,11,3,8,8.0,1.0,0.125,-25.74,108.15,133.88,0.094,0.1963,0.1023,126.87,0.3636,0.2542
IO Okpe,Death,30,9,21,1.256,0.7778,0.619,-71.59,85.94,157.53,-0.1099,0.0665,0.1764,136.05,0.6667,0.3028
AA Alleyne,Death,10,5,5,1.0,0.6,0.6,-33.79,86.14,119.93,-0.0653,0.0864,0.1517,103.03,0.6,0.4132
NT Ellis,Death,24,6,18,0.0,0.0,0.4444,-62.68,75.39,138.06,-0.0921,0.0615,0.1536,122.39,0.3333,0.3013
W Sutherland,Death,23,7,16,1.27,0.7143,0.5625,-98.68,65.26,163.94,-0.1441,0.049,0.1931,133.91,0.6087,0.342
J Little,Death,11,8,3,,0.25,0.0,-54.39,64.5,118.89,-0.0678,0.0544,0.1222,79.33,0.1818,0.4561
