batter,0_dots,1_dots,2_dots,3_dots,4_dots,5+_dots,balls_faced,dismissal_rate_pct
Waji Ul Hassan,4.011461318051576,4.3478260869565215,3.3333333333333335,14.285714285714285,0.0,0.0,482,4.149377593360995
Aman Desai,5.074626865671641,5.825242718446602,15.151515151515152,0.0,0.0,,481,5.8212058212058215
Umar Adam,7.419354838709677,4.3478260869565215,8.108108108108109,0.0,0.0,33.33333333333333,480,6.666666666666667
S Gajnabi,6.293706293706294,3.571428571428571,0.0,4.545454545454546,0.0,0.0,480,4.791666666666667
KS Leverock,3.9755351681957185,4.0,3.0303030303030303,0.0,0.0,16.666666666666664,479,3.966597077244259
Aarif Sheikh,5.555555555555555,2.727272727272727,3.7037037037037033,0.0,0.0,0.0,479,4.592901878914405
Dhruv Jurel,4.735376044568245,2.5,0.0,12.5,0.0,25.0,479,4.3841336116910234
A Ferguson,2.430555555555556,4.545454545454546,0.0,0.0,0.0,0.0,478,2.510460251046025
JN Loftie-Eaton,7.100591715976331,4.9504950495049505,0.0,12.5,0.0,0.0,478,6.2761506276150625
N Vanua,5.847953216374268,5.0,4.761904761904762,0.0,20.0,0.0,477,5.660377358490567
Shahbaz Ahmed,6.145251396648044,4.705882352941177,3.8461538461538463,0.0,0.0,,475,5.684210526315789
MR Swart,3.3333333333333335,2.0618556701030926,10.344827586206897,0.0,0.0,0.0,472,3.389830508474576
LE Kaushalya,5.3731343283582085,5.05050505050505,8.333333333333332,0.0,0.0,11.11111111111111,470,5.531914893617021
SO Ngoche,7.01219512195122,5.681818181818182,3.4482758620689653,0.0,0.0,0.0,470,6.170212765957447
PJ Forrest,4.516129032258064,3.061224489795918,2.941176470588235,0.0,0.0,0.0,470,3.829787234042553
R Bakum,5.762711864406779,5.208333333333334,14.634146341463413,0.0,0.0,0.0,469,5.970149253731343
SA Jumbe,6.382978723404255,8.823529411764707,2.4390243902439024,5.555555555555555,8.333333333333332,14.285714285714285,469,6.823027718550106
H Singh,5.3097345132743365,6.451612903225806,3.571428571428571,0.0,0.0,0.0,469,5.330490405117271
Nikhil Chaudhary,5.367231638418079,3.75,0.0,0.0,0.0,,468,4.700854700854701
V Krishnamurthy,4.62962962962963,4.761904761904762,3.8461538461538463,27.27272727272727,0.0,0.0,468,5.128205128205128
J Rasu,5.161290322580645,5.154639175257731,3.125,0.0,0.0,0.0,468,4.700854700854701
SR Bhudia,4.86322188449848,1.1764705882352942,2.941176470588235,33.33333333333333,0.0,0.0,467,4.925053533190578
